"","LE_x","GEOID","city","ACS.majBlack","LE","city.fac"
"290",84.3,6037104201,"Los Angeles",FALSE,84.3,"Los Angeles"
"291",82.1,6037104203,"Los Angeles",FALSE,82.1,"Los Angeles"
"292",73.6,6037104204,"Los Angeles",FALSE,73.6,"Los Angeles"
"293",77.4,6037104310,"Los Angeles",FALSE,77.4,"Los Angeles"
"294",79.7,6037104320,"Los Angeles",FALSE,79.7,"Los Angeles"
"295",79.1,6037104401,"Los Angeles",FALSE,79.1,"Los Angeles"
"296",80.5,6037104403,"Los Angeles",FALSE,80.5,"Los Angeles"
"297",78.9,6037104404,"Los Angeles",FALSE,78.9,"Los Angeles"
"298",81.3,6037104500,"Los Angeles",FALSE,81.3,"Los Angeles"
"299",78.7,6037104610,"Los Angeles",FALSE,78.7,"Los Angeles"
"300",81.2,6037104620,"Los Angeles",FALSE,81.2,"Los Angeles"
"301",80.3,6037104701,"Los Angeles",FALSE,80.3,"Los Angeles"
"302",77.5,6037104703,"Los Angeles",FALSE,77.5,"Los Angeles"
"303",78.1,6037104704,"Los Angeles",FALSE,78.1,"Los Angeles"
"304",78.7,6037104810,"Los Angeles",FALSE,78.7,"Los Angeles"
"305",77.7,6037104821,"Los Angeles",FALSE,77.7,"Los Angeles"
"306",79,6037106010,"Los Angeles",FALSE,79,"Los Angeles"
"307",81.7,6037106020,"Los Angeles",FALSE,81.7,"Los Angeles"
"308",79.5,6037106111,"Los Angeles",FALSE,79.5,"Los Angeles"
"309",78.2,6037106112,"Los Angeles",FALSE,78.2,"Los Angeles"
"310",80.4,6037106113,"Los Angeles",FALSE,80.4,"Los Angeles"
"311",78.1,6037106114,"Los Angeles",FALSE,78.1,"Los Angeles"
"312",79.9,6037106403,"Los Angeles",FALSE,79.9,"Los Angeles"
"313",78.5,6037106405,"Los Angeles",FALSE,78.5,"Los Angeles"
"314",81.6,6037106406,"Los Angeles",FALSE,81.6,"Los Angeles"
"315",77.8,6037106407,"Los Angeles",FALSE,77.8,"Los Angeles"
"316",76.2,6037106408,"Los Angeles",FALSE,76.2,"Los Angeles"
"317",86.9,6037106510,"Los Angeles",FALSE,86.9,"Los Angeles"
"318",83.5,6037106520,"Los Angeles",FALSE,83.5,"Los Angeles"
"319",82.9,6037106603,"Los Angeles",FALSE,82.9,"Los Angeles"
"320",77.7,6037106604,"Los Angeles",FALSE,77.7,"Los Angeles"
"321",81,6037106641,"Los Angeles",FALSE,81,"Los Angeles"
"322",84,6037106642,"Los Angeles",FALSE,84,"Los Angeles"
"323",81.7,6037106643,"Los Angeles",FALSE,81.7,"Los Angeles"
"324",80.8,6037106645,"Los Angeles",FALSE,80.8,"Los Angeles"
"325",83.5,6037106646,"Los Angeles",FALSE,83.5,"Los Angeles"
"326",79.1,6037106648,"Los Angeles",FALSE,79.1,"Los Angeles"
"327",82.4,6037106649,"Los Angeles",FALSE,82.4,"Los Angeles"
"328",75.1,6037107010,"Los Angeles",FALSE,75.1,"Los Angeles"
"329",79.1,6037107020,"Los Angeles",FALSE,79.1,"Los Angeles"
"330",81.6,6037108101,"Los Angeles",FALSE,81.6,"Los Angeles"
"331",86.6,6037108102,"Los Angeles",FALSE,86.6,"Los Angeles"
"332",85.2,6037108103,"Los Angeles",FALSE,85.2,"Los Angeles"
"333",83.3,6037108104,"Los Angeles",FALSE,83.3,"Los Angeles"
"334",86.8,6037108201,"Los Angeles",FALSE,86.8,"Los Angeles"
"335",81.3,6037108202,"Los Angeles",FALSE,81.3,"Los Angeles"
"336",77.3,6037109100,"Los Angeles",FALSE,77.3,"Los Angeles"
"337",79.6,6037109200,"Los Angeles",FALSE,79.6,"Los Angeles"
"338",81.7,6037109300,"Los Angeles",FALSE,81.7,"Los Angeles"
"339",82.3,6037109500,"Los Angeles",FALSE,82.3,"Los Angeles"
"340",83.7,6037109601,"Los Angeles",FALSE,83.7,"Los Angeles"
"341",82.6,6037109603,"Los Angeles",FALSE,82.6,"Los Angeles"
"342",80.5,6037109604,"Los Angeles",FALSE,80.5,"Los Angeles"
"343",82.3,6037109700,"Los Angeles",FALSE,82.3,"Los Angeles"
"344",82.5,6037109800,"Los Angeles",FALSE,82.5,"Los Angeles"
"345",81.6,6037111100,"Los Angeles",FALSE,81.6,"Los Angeles"
"346",83.8,6037111201,"Los Angeles",FALSE,83.8,"Los Angeles"
"347",79.4,6037111202,"Los Angeles",FALSE,79.4,"Los Angeles"
"348",86.8,6037111204,"Los Angeles",FALSE,86.8,"Los Angeles"
"349",81.4,6037111205,"Los Angeles",FALSE,81.4,"Los Angeles"
"350",84.4,6037111206,"Los Angeles",FALSE,84.4,"Los Angeles"
"351",84.4,6037111301,"Los Angeles",FALSE,84.4,"Los Angeles"
"352",83.3,6037111302,"Los Angeles",FALSE,83.3,"Los Angeles"
"353",81.9,6037111400,"Los Angeles",FALSE,81.9,"Los Angeles"
"354",80.2,6037113101,"Los Angeles",FALSE,80.2,"Los Angeles"
"355",83.2,6037113102,"Los Angeles",FALSE,83.2,"Los Angeles"
"356",80.6,6037113211,"Los Angeles",FALSE,80.6,"Los Angeles"
"357",80.4,6037113213,"Los Angeles",FALSE,80.4,"Los Angeles"
"358",84.2,6037113231,"Los Angeles",FALSE,84.2,"Los Angeles"
"359",84.1,6037113232,"Los Angeles",FALSE,84.1,"Los Angeles"
"360",77.2,6037113233,"Los Angeles",FALSE,77.2,"Los Angeles"
"361",82.4,6037113234,"Los Angeles",FALSE,82.4,"Los Angeles"
"362",78.8,6037113235,"Los Angeles",FALSE,78.8,"Los Angeles"
"363",87.5,6037113237,"Los Angeles",FALSE,87.5,"Los Angeles"
"364",83.4,6037113301,"Los Angeles",FALSE,83.4,"Los Angeles"
"365",79.8,6037113303,"Los Angeles",FALSE,79.8,"Los Angeles"
"366",80.9,6037113321,"Los Angeles",FALSE,80.9,"Los Angeles"
"367",80.3,6037113322,"Los Angeles",FALSE,80.3,"Los Angeles"
"368",81.2,6037113401,"Los Angeles",FALSE,81.2,"Los Angeles"
"369",77.1,6037113421,"Los Angeles",FALSE,77.1,"Los Angeles"
"370",82.2,6037113422,"Los Angeles",FALSE,82.2,"Los Angeles"
"371",84.8,6037115101,"Los Angeles",FALSE,84.8,"Los Angeles"
"372",80.4,6037115104,"Los Angeles",FALSE,80.4,"Los Angeles"
"373",82.5,6037115201,"Los Angeles",FALSE,82.5,"Los Angeles"
"374",82,6037115202,"Los Angeles",FALSE,82,"Los Angeles"
"375",81.3,6037115301,"Los Angeles",FALSE,81.3,"Los Angeles"
"376",82.4,6037115302,"Los Angeles",FALSE,82.4,"Los Angeles"
"377",80.4,6037115401,"Los Angeles",FALSE,80.4,"Los Angeles"
"378",81.5,6037115403,"Los Angeles",FALSE,81.5,"Los Angeles"
"379",81.6,6037115404,"Los Angeles",FALSE,81.6,"Los Angeles"
"380",84.5,6037117101,"Los Angeles",FALSE,84.5,"Los Angeles"
"381",78.5,6037117102,"Los Angeles",FALSE,78.5,"Los Angeles"
"382",79.6,6037117201,"Los Angeles",FALSE,79.6,"Los Angeles"
