"","LE_x","GEOID","city","ACS.majBlack","LE"
"1790",77.3,6037533701,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1791",81.2,6037533702,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.2
"1792",78.3,6037533703,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.3
"1793",85.3,6037533803,"Los Angeles-Long Beach-Anaheim, CA",FALSE,85.3
"1794",79.8,6037533804,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.8
"1795",79.5,6037533805,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.5
"1796",77.3,6037533806,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1797",78.5,6037533901,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.5
"1798",80.3,6037533902,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.3
"1799",78.8,6037534001,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.8
"1800",79.4,6037534002,"Los Angeles-Long Beach-Anaheim, CA",FALSE,79.4
"1801",78.3,6037534102,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.3
"1802",78.4,6037534201,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.4
"1803",77.3,6037534202,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1804",83.5,6037534203,"Los Angeles-Long Beach-Anaheim, CA",FALSE,83.5
"1805",76.2,6037534301,"Los Angeles-Long Beach-Anaheim, CA",FALSE,76.2
"1806",80.3,6037534302,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.3
"1807",81.5,6037534403,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.5
"1808",78.7,6037534404,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1809",80.4,6037534405,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.4
"1810",80.5,6037534501,"Los Angeles-Long Beach-Anaheim, CA",FALSE,80.5
"1811",81.3,6037534502,"Los Angeles-Long Beach-Anaheim, CA",FALSE,81.3
"1812",78.7,6037534700,"Los Angeles-Long Beach-Anaheim, CA",FALSE,78.7
"1813",77.3,6037534802,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
"1814",77.3,6037534803,"Los Angeles-Long Beach-Anaheim, CA",FALSE,77.3
